,Blue Hill Ave,,,,Blue Hill Ave,,,,Intervale Street,,,,Intervale Street,,,
,Northbound,,,,Southbound,,,,Eastbound,,,,Westbound,,,
Start Time,U-Turn,Left,Thru,Right,U-Turn,Left,Thru,Right,U-Turn,Left,Thru,Right,U-Turn,Left,Thru,Right
7:00 AM,0,0,117,2,0,6,107,0,0,1,1,2,0,0,0,0
7:15 AM,0,0,142,8,0,4,125,0,0,7,6,0,0,0,0,0
7:30 AM,1,0,46,13,0,5,79,0,0,2,5,5,0,0,0,0
7:45 AM,0,0,62,3,0,0,65,0,0,2,6,8,0,0,0,0
8:00 AM,0,0,61,2,1,2,54,0,0,1,13,6,0,0,0,0
8:15 AM,0,0,137,5,0,12,98,0,0,5,10,8,0,0,0,0
8:30 AM,0,0,125,6,0,5,99,0,0,3,1,6,0,0,0,0
8:45 AM,0,0,123,6,0,8,90,0,0,4,4,2,0,0,0,0
9:00 AM,0,0,138,5,0,1,94,0,0,1,1,1,0,0,0,0
9:15 AM,0,0,126,5,0,1,83,0,0,0,1,3,0,0,0,0
9:30 AM,0,0,120,3,0,4,77,0,0,4,7,2,0,0,0,0
9:45 AM,0,0,127,2,0,6,93,0,0,5,7,2,0,0,0,0
10:00 AM,0,0,127,5,0,5,86,0,0,3,0,6,0,0,0,0
10:15 AM,0,0,117,5,0,6,95,0,0,1,1,6,0,0,0,0
10:30 AM,0,0,93,2,0,7,108,0,0,5,9,3,0,0,0,0
10:45 AM,0,0,103,3,0,5,85,0,0,6,3,2,0,0,0,0
11:00 AM,0,0,99,6,1,8,102,0,0,3,3,4,0,0,0,0
11:15 AM,0,0,104,7,0,5,87,0,0,3,6,5,0,0,0,0
11:30 AM,0,0,94,5,0,5,106,0,0,4,3,7,0,0,0,0
11:45 AM,0,0,86,5,0,7,94,0,0,1,3,1,0,0,0,0
12:00 PM,0,0,97,6,0,8,94,0,0,2,4,5,0,0,0,0
12:15 PM,0,0,85,4,1,7,110,0,0,2,3,4,0,0,0,0
12:30 PM,0,0,113,4,0,5,89,0,0,2,3,0,0,0,0,0
12:45 PM,0,0,99,6,0,7,95,0,0,1,7,5,0,0,0,0
1:00 PM,0,0,96,6,0,6,116,0,0,1,4,3,0,0,0,0
1:15 PM,0,0,100,2,0,10,122,0,0,2,4,8,0,0,0,0
1:30 PM,0,0,110,3,0,7,120,0,0,2,5,3,0,0,0,0
1:45 PM,0,0,111,6,0,10,120,0,0,4,6,7,0,0,0,0
2:00 PM,0,0,98,7,0,5,134,0,0,2,6,4,0,0,0,0
2:15 PM,0,0,103,5,0,10,120,0,0,2,12,3,0,0,0,0
2:30 PM,0,0,120,3,0,11,112,0,0,2,12,2,0,0,0,0
2:45 PM,2,0,94,11,0,8,93,0,0,2,6,6,0,0,0,0
3:00 PM,1,0,99,5,0,11,129,0,0,7,7,1,0,0,0,0
3:15 PM,0,0,90,2,0,3,102,0,0,2,5,6,0,0,0,0
3:30 PM,0,0,111,9,0,12,128,0,0,0,6,6,0,0,0,0
3:45 PM,0,0,94,10,0,6,121,0,0,5,7,3,0,0,0,0
4:00 PM,0,0,93,11,0,18,113,0,0,2,8,7,0,0,0,0
4:15 PM,0,0,98,5,0,10,133,0,0,3,6,11,0,0,0,0
4:30 PM,0,0,100,7,0,14,121,0,0,1,9,5,0,0,0,0
4:45 PM,0,0,121,11,0,9,115,0,0,2,14,7,0,0,0,0
5:00 PM,0,0,104,1,0,14,128,0,0,2,7,4,0,0,0,0
5:15 PM,0,0,113,5,0,9,110,0,0,4,7,6,0,0,0,0
5:30 PM,1,0,106,7,0,5,123,0,0,6,8,3,0,0,0,0
5:45 PM,0,0,114,9,0,7,124,0,0,1,5,5,0,0,0,0
6:00 PM,0,0,106,10,0,8,118,0,0,4,5,8,0,0,0,0
6:15 PM,1,0,98,9,0,7,129,0,0,3,4,6,0,0,0,0
6:30 PM,2,0,107,4,0,5,108,0,0,3,8,5,0,0,0,0
6:45 PM,0,0,132,7,0,5,129,0,0,4,7,8,0,0,0,0
