,Blue Hill Ave,,,,Blue Hill Ave,,,,Quincy Street,,,,Quincy Street,,,
,Northbound,,,,Southbound,,,,Eastbound,,,,Westbound,,,
Start Time,U-Turn,Left,Thru,Right,U-Turn,Left,Thru,Right,U-Turn,Left,Thru,Right,U-Turn,Left,Thru,Right
7:00 AM,0,29,139,8,0,9,93,18,0,11,57,4,0,6,58,9
7:15 AM,0,15,149,10,0,15,113,12,0,7,59,5,0,6,48,16
7:30 AM,0,20,85,4,0,21,90,13,0,15,55,3,0,5,55,15
7:45 AM,0,19,95,5,0,18,72,13,0,12,49,3,0,5,31,6
8:00 AM,0,24,82,8,0,14,56,21,0,2,54,7,0,4,57,8
8:15 AM,0,24,134,4,0,12,79,25,0,6,60,6,0,7,61,7
8:30 AM,0,19,143,6,0,10,87,20,0,11,64,8,0,8,57,9
8:45 AM,0,9,125,12,0,9,79,13,0,5,59,10,0,3,61,9
9:00 AM,0,11,139,15,0,12,77,18,0,9,64,5,0,9,46,12
9:15 AM,0,16,118,9,0,13,70,19,0,7,55,2,0,7,49,10
9:30 AM,0,12,117,15,0,7,61,19,0,11,51,6,0,15,58,13
9:45 AM,0,4,130,6,0,10,76,14,0,6,53,8,0,7,65,15
10:00 AM,0,14,118,12,0,13,73,8,0,14,45,8,0,13,54,11
10:15 AM,0,13,103,12,0,8,85,23,0,10,62,2,0,14,63,13
10:30 AM,0,7,85,17,0,11,86,18,0,11,66,9,0,9,55,15
10:45 AM,0,12,101,8,0,12,69,18,0,5,57,12,0,14,54,14
11:00 AM,0,9,94,6,0,11,87,7,0,5,59,6,0,9,51,18
11:15 AM,0,12,94,14,0,10,72,15,0,13,65,6,0,16,56,16
11:30 AM,0,10,76,18,0,10,93,9,0,5,78,12,0,14,37,11
11:45 AM,0,18,83,12,0,10,79,18,0,9,64,9,1,16,50,18
12:00 PM,0,10,96,12,0,11,88,15,0,5,68,13,0,17,49,20
12:15 PM,0,11,81,11,0,8,87,14,0,7,67,7,0,16,54,10
12:30 PM,0,10,102,8,0,16,74,12,0,6,49,5,0,15,53,23
12:45 PM,0,7,98,13,0,16,80,20,0,5,60,4,0,17,78,10
1:00 PM,0,14,80,16,0,15,86,15,0,6,56,7,0,17,77,16
1:15 PM,0,13,93,8,0,11,105,22,0,14,59,10,0,20,70,21
1:30 PM,0,12,72,13,0,18,101,19,0,4,74,5,0,17,73,14
1:45 PM,0,19,99,11,0,15,92,19,0,10,77,13,0,17,67,9
2:00 PM,0,13,90,11,0,20,99,19,0,6,80,17,0,16,65,18
2:15 PM,0,19,86,16,0,19,109,17,0,7,87,18,0,10,62,18
2:30 PM,0,8,92,10,0,13,89,15,0,12,95,13,0,9,56,22
2:45 PM,0,6,90,15,0,14,86,6,0,10,102,11,0,15,55,11
3:00 PM,0,15,92,8,0,9,101,16,0,14,88,14,0,15,52,13
3:15 PM,0,14,83,8,0,15,92,20,0,8,77,12,0,9,65,16
3:30 PM,0,12,84,5,0,15,91,12,0,11,87,14,0,14,68,11
3:45 PM,0,14,104,9,0,9,103,7,0,14,74,16,0,20,30,12
4:00 PM,0,17,73,6,0,9,91,18,0,8,69,18,0,14,42,16
4:15 PM,0,15,110,7,0,8,106,9,0,10,68,23,0,18,55,12
4:30 PM,0,7,86,8,0,15,109,12,0,12,71,19,0,14,59,13
4:45 PM,0,10,113,10,0,16,108,18,0,7,77,9,0,24,51,13
5:00 PM,0,16,94,7,0,16,99,14,0,9,90,9,0,11,63,23
5:15 PM,0,13,115,17,0,17,114,14,0,9,95,12,0,14,63,14
5:30 PM,0,13,91,13,0,15,94,13,0,7,100,14,0,16,62,22
5:45 PM,0,14,103,11,0,17,115,18,0,5,79,20,0,10,47,23
6:00 PM,0,14,81,13,0,16,90,8,0,11,107,19,0,15,63,18
6:15 PM,0,10,98,14,0,15,118,11,0,7,75,3,0,14,48,12
6:30 PM,0,13,98,6,0,13,89,15,0,7,92,11,0,14,58,16
6:45 PM,0,11,103,17,0,15,119,15,0,8,68,16,0,11,44,17
