,,,,,Mascoma Street,,,,Lawrence Ave,,,,Lawrence Ave,,,
,Northbound,,,,Southbound,,,,Eastbound,,,,Westbound,,,
Start Time,U-Turn,Left,Thru,Right,U-Turn,Left,Thru,Right,U-Turn,Left,Thru,Right,U-Turn,Left,Thru,Right
7:00 AM,0,0,0,0,0,2,0,0,0,18,5,0,0,0,0,0
7:15 AM,0,0,0,0,0,2,0,0,0,37,10,0,0,0,0,0
7:30 AM,0,0,0,0,0,2,0,0,0,35,10,0,0,0,0,0
7:45 AM,0,0,0,0,0,6,0,0,0,23,10,0,0,0,0,0
8:00 AM,0,0,0,0,0,3,0,0,0,29,7,0,0,0,0,0
8:15 AM,0,0,0,0,0,2,0,0,0,22,15,0,0,0,0,0
8:30 AM,0,0,0,0,0,3,0,0,0,14,5,0,0,0,0,0
8:45 AM,0,0,0,0,0,3,0,0,0,26,11,0,0,0,0,0
9:00 AM,0,0,0,0,0,0,0,0,0,22,5,0,0,0,0,0
9:15 AM,0,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0
9:30 AM,0,0,0,0,0,2,0,0,0,13,5,0,0,0,0,0
9:45 AM,0,0,0,0,0,3,0,0,0,9,6,0,0,0,0,0
10:00 AM,0,0,0,0,0,3,0,0,0,14,7,0,0,0,0,0
10:15 AM,0,0,0,0,0,2,0,0,0,16,5,0,0,0,0,0
10:30 AM,0,0,0,0,0,1,0,0,0,15,1,0,0,0,0,0
10:45 AM,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0,0
11:00 AM,0,0,0,0,0,4,0,0,0,11,6,0,0,0,0,0
11:15 AM,0,0,0,0,0,2,0,0,0,7,3,0,0,0,0,0
11:30 AM,0,0,0,0,0,1,0,0,0,13,5,0,0,0,0,0
11:45 AM,0,0,0,0,0,2,0,0,0,16,6,0,0,0,0,0
12:00 PM,0,0,0,0,0,2,0,0,0,15,3,0,0,0,0,0
12:15 PM,0,0,0,0,0,1,0,0,0,23,6,0,0,0,0,0
12:30 PM,0,0,0,0,0,2,0,0,0,13,5,0,0,0,0,0
12:45 PM,0,0,0,0,0,1,0,0,0,11,10,0,0,0,0,0
1:00 PM,0,0,0,0,0,3,0,0,0,14,3,0,0,0,0,0
1:15 PM,0,0,0,0,0,2,0,0,0,14,3,0,0,0,0,0
1:30 PM,0,0,0,0,0,7,0,0,0,21,9,0,0,0,0,0
1:45 PM,0,0,0,0,0,3,0,0,0,25,9,0,0,0,0,0
2:00 PM,0,0,0,0,0,4,0,0,0,12,5,0,0,0,0,0
2:15 PM,0,0,0,0,0,5,0,0,0,24,6,0,0,0,0,0
2:30 PM,0,0,0,0,0,4,0,0,0,24,7,0,0,0,0,0
2:45 PM,0,0,0,0,0,5,0,0,0,28,6,0,0,0,0,0
3:00 PM,0,0,0,0,0,2,0,0,0,25,7,0,0,0,0,0
3:15 PM,0,0,0,0,0,1,0,0,0,19,9,0,0,0,0,0
3:30 PM,0,0,0,0,0,0,0,0,0,23,5,0,0,0,0,0
3:45 PM,0,0,0,0,0,3,0,0,0,19,15,0,0,0,0,0
4:00 PM,0,0,0,0,0,10,0,0,0,23,14,0,0,0,0,0
4:15 PM,0,0,0,0,0,7,0,0,0,32,10,0,0,0,0,0
4:30 PM,0,0,0,0,0,4,0,0,0,25,19,0,0,0,0,0
4:45 PM,0,0,0,0,0,5,0,0,0,25,8,0,0,0,0,0
5:00 PM,0,0,0,0,0,3,0,0,0,27,10,0,0,0,0,0
5:15 PM,0,0,0,0,0,7,0,0,0,21,10,0,0,0,0,0
5:30 PM,0,0,0,0,0,4,0,0,0,25,11,0,0,0,0,0
5:45 PM,0,0,0,0,0,8,0,0,0,27,8,0,0,0,0,0
6:00 PM,0,0,0,0,0,5,0,0,0,30,15,0,0,0,0,0
6:15 PM,0,0,0,0,0,3,0,0,0,20,6,0,0,0,0,0
6:30 PM,0,0,0,0,0,3,0,0,0,20,6,0,0,0,0,0
6:45 PM,0,0,0,0,0,1,0,0,0,14,11,0,0,0,0,0
