,,,,,Coleus Park,,,,Intervale Street,,,,Intervale Street,,,
,Northbound,,,,Southbound,,,,Eastbound,,,,Westbound,,,
Start Time,U-Turn,Left,Thru,Right,U-Turn,Left,Thru,Right,U-Turn,Left,Thru,Right,U-Turn,Left,Thru,Right
7:00 AM,0,0,0,0,0,2,0,0,0,0,11,0,0,0,0,0
7:15 AM,0,0,0,0,0,2,0,0,0,2,9,0,0,0,0,0
7:30 AM,0,0,0,0,0,2,0,0,0,0,14,0,0,0,0,0
7:45 AM,0,0,0,0,0,1,0,0,0,1,10,0,0,0,0,0
8:00 AM,0,0,0,0,0,3,0,0,0,6,25,0,0,0,0,0
8:15 AM,0,0,0,0,0,3,0,0,0,5,45,0,0,0,0,0
8:30 AM,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0
8:45 AM,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0
9:00 AM,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
9:15 AM,0,0,0,0,0,1,0,0,0,2,7,0,0,0,0,0
9:30 AM,0,0,0,0,0,1,0,0,0,2,10,0,0,0,0,0
9:45 AM,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0
10:00 AM,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0
10:15 AM,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0
10:30 AM,0,0,0,0,0,2,0,0,0,1,7,0,0,0,0,0
10:45 AM,0,0,0,0,0,2,0,0,0,2,6,0,0,0,0,0
11:00 AM,0,0,0,0,0,2,0,0,0,2,7,0,0,0,0,0
11:15 AM,0,0,0,0,0,3,0,0,0,1,10,0,0,0,0,0
11:30 AM,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
11:45 AM,0,0,0,0,0,2,0,0,0,0,12,0,0,0,0,0
12:00 PM,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0
12:15 PM,0,0,0,0,0,3,0,0,0,1,6,0,0,0,0,0
12:30 PM,0,0,0,0,0,2,0,0,0,1,6,0,0,0,0,0
12:45 PM,0,0,0,0,0,2,0,0,0,0,14,0,0,0,0,0
1:00 PM,0,0,0,0,0,2,0,0,0,3,9,0,0,0,0,0
1:15 PM,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0
1:30 PM,0,0,0,0,0,3,0,0,0,1,11,0,0,0,0,0
1:45 PM,0,0,0,0,0,3,0,0,0,1,9,0,0,0,0,0
2:00 PM,0,0,0,0,0,3,0,0,0,3,14,0,0,0,0,0
2:15 PM,0,0,0,0,0,3,0,0,0,2,12,0,0,0,0,0
2:30 PM,0,0,0,0,0,3,0,0,0,2,17,0,0,0,0,0
2:45 PM,0,0,0,0,0,2,0,0,0,6,16,0,0,0,0,0
3:00 PM,0,0,0,0,0,5,0,0,0,2,31,0,0,0,0,0
3:15 PM,0,0,0,0,0,3,0,0,0,2,30,0,0,0,0,0
3:30 PM,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0
3:45 PM,0,0,0,0,0,2,0,0,0,0,12,0,0,0,0,0
4:00 PM,0,0,0,0,0,4,0,0,0,0,23,0,0,0,0,0
4:15 PM,0,0,0,0,0,3,0,0,0,1,16,0,0,0,0,0
4:30 PM,0,0,0,0,0,2,0,0,0,0,16,0,0,0,0,0
4:45 PM,0,0,0,0,0,4,0,0,0,1,23,0,0,0,0,0
5:00 PM,0,0,0,0,0,1,0,0,0,4,15,0,0,0,0,0
5:15 PM,0,0,0,0,0,6,0,0,0,0,15,0,0,0,0,0
5:30 PM,0,0,0,0,0,5,0,0,0,2,15,0,0,0,0,0
5:45 PM,0,0,0,0,0,3,0,0,0,2,15,0,0,0,0,0
6:00 PM,0,0,0,0,0,1,0,0,0,4,14,0,0,0,0,0
6:15 PM,0,0,0,0,0,2,0,0,0,4,9,0,0,0,0,0
6:30 PM,0,0,0,0,0,4,0,0,0,4,10,0,0,0,0,0
6:45 PM,0,0,0,0,0,6,0,0,0,6,20,0,0,0,0,0
